algorithm,data_size,iterations,key_size,avg_cpu,avg_time,avg_ram
RC2Encryption,50mb_text_data_faker,2,40,6.75,1.983730673789978,0.4000000000000057
RC2Encryption,5mb_text_data_faker,2,40,21.9,0.19750630855560303,0.04999999999999716
RC2Encryption,10mb_text_data_faker,2,64,12.0,0.4084569215774536,0.25
RC2Encryption,1mb_text_data_faker,2,64,71.9,0.04631960391998291,0.0
RC2Encryption,20mb_text_data_faker,2,64,-7.649999999999999,0.8524167537689209,0.20000000000000284
RC2Encryption,2mb_text_data_faker,2,64,25.0,0.08008480072021484,0.0
RC2Encryption,50mb_text_data_faker,2,64,33.5,1.998196005821228,0.3500000000000014
RC2Encryption,5mb_text_data_faker,2,64,38.400000000000006,0.19658160209655762,0.10000000000000142
RC2Encryption,10mb_text_data_faker,2,128,14.05,0.4271124601364136,0.10000000000000142
RC2Encryption,1mb_text_data_faker,2,128,16.65,0.04708755016326904,-0.05000000000000426
RC2Encryption,20mb_text_data_faker,2,128,15.3,0.8227318525314331,0.14999999999999858
RC2Encryption,2mb_text_data_faker,2,128,25.0,0.08460772037506104,-0.05000000000000426
RC2Encryption,50mb_text_data_faker,2,128,26.75,1.943522334098816,0.29999999999999716
RC2Encryption,5mb_text_data_faker,2,128,15.100000000000001,0.19148504734039307,-0.10000000000000142
RC4Encryption,10mb_text_data_faker,2,40,-11.400000000000002,0.11120450496673584,0.20000000000000284
RC4Encryption,1mb_text_data_faker,2,40,25.0,0.013390898704528809,0.0
RC4Encryption,20mb_text_data_faker,2,40,27.25,0.2181088924407959,0.29999999999999716
RC4Encryption,2mb_text_data_faker,2,40,-14.149999999999999,0.022940397262573242,0.0
RC4Encryption,50mb_text_data_faker,2,40,29.75,0.5594464540481567,0.3500000000000014
RC4Encryption,5mb_text_data_faker,2,40,16.8,0.05276060104370117,0.04999999999999716
RC4Encryption,10mb_text_data_faker,2,128,6.900000000000002,0.11494410037994385,0.25
RC4Encryption,1mb_text_data_faker,2,128,-4.149999999999999,0.013316154479980469,0.0
RC4Encryption,20mb_text_data_faker,2,128,23.2,0.21941626071929932,0.25
RC4Encryption,2mb_text_data_faker,2,128,31.25,0.02270817756652832,0.0
RC4Encryption,50mb_text_data_faker,2,128,37.5,0.5588738918304443,0.45000000000000284
RC4Encryption,5mb_text_data_faker,2,128,32.35,0.06052136421203613,0.05000000000000426
BlowfishEncryption,10mb_text_data_faker,2,128,41.65,0.1923692226409912,0.20000000000000284
BlowfishEncryption,1mb_text_data_faker,2,128,-25.0,0.021897196769714355,-0.04999999999999716
BlowfishEncryption,20mb_text_data_faker,2,128,11.0,0.4021967649459839,0.10000000000000142
BlowfishEncryption,2mb_text_data_faker,2,128,34.5,0.03992962837219238,0.05000000000000426
BlowfishEncryption,50mb_text_data_faker,2,128,11.5,0.9073878526687622,0.25
BlowfishEncryption,5mb_text_data_faker,2,128,23.9,0.09237563610076904,0.09999999999999432
BlowfishEncryption,10mb_text_data_faker,2,448,39.1,0.17371177673339844,0.10000000000000142
BlowfishEncryption,1mb_text_data_faker,2,448,43.75,0.020474791526794434,0.0
BlowfishEncryption,20mb_text_data_faker,2,448,1.1499999999999986,0.45184600353240967,0.10000000000000142
