algorithm,operation,key_size,file_name,time_taken
RC2,decryption,8,30mb_text_data_faker.txt,0.8809976577758789
RC2,encryption,16,30mb_text_data_faker.txt,1.3209936618804932
RC2,decryption,16,30mb_text_data_faker.txt,0.849998950958252
RC4,encryption,5,30mb_text_data_faker.txt,0.358989953994751
RC4,decryption,5,30mb_text_data_faker.txt,0.38199853897094727
RC4,encryption,8,30mb_text_data_faker.txt,0.3600003719329834
RC4,decryption,8,30mb_text_data_faker.txt,0.35799527168273926
RC4,encryption,16,30mb_text_data_faker.txt,0.3619980812072754
RC4,decryption,16,30mb_text_data_faker.txt,0.3579983711242676
Blowfish,encryption,4,30mb_text_data_faker.txt,0.6670022010803223
Blowfish,decryption,4,30mb_text_data_faker.txt,0.6419985294342041
Blowfish,encryption,8,30mb_text_data_faker.txt,0.6849949359893799
Blowfish,decryption,8,30mb_text_data_faker.txt,0.7969985008239746
Blowfish,encryption,16,30mb_text_data_faker.txt,0.7419919967651367
Blowfish,decryption,16,30mb_text_data_faker.txt,0.6220040321350098
Blowfish,encryption,24,30mb_text_data_faker.txt,0.6839938163757324
Blowfish,decryption,24,30mb_text_data_faker.txt,0.6350021362304688
Blowfish,encryption,32,30mb_text_data_faker.txt,0.6749985218048096
Blowfish,decryption,32,30mb_text_data_faker.txt,0.6359846591949463
AES,encryption,16,40mb_text_data_faker.txt,0.3900010585784912
AES,decryption,16,40mb_text_data_faker.txt,0.39099788665771484
AES,encryption,24,40mb_text_data_faker.txt,0.40199828147888184
AES,decryption,24,40mb_text_data_faker.txt,0.37799906730651855
AES,encryption,32,40mb_text_data_faker.txt,0.6469967365264893
AES,decryption,32,40mb_text_data_faker.txt,0.40399765968322754
DES,encryption,8,40mb_text_data_faker.txt,1.1990022659301758
DES,decryption,8,40mb_text_data_faker.txt,1.2960014343261719
3DES,encryption,16,40mb_text_data_faker.txt,2.668999195098877
3DES,decryption,16,40mb_text_data_faker.txt,2.6180038452148438
3DES,encryption,24,40mb_text_data_faker.txt,2.6609928607940674
3DES,decryption,24,40mb_text_data_faker.txt,2.6290016174316406
RC2,encryption,5,40mb_text_data_faker.txt,1.7199962139129639
RC2,decryption,5,40mb_text_data_faker.txt,1.253997564315796
RC2,encryption,8,40mb_text_data_faker.txt,1.713993787765503
RC2,decryption,8,40mb_text_data_faker.txt,1.395996332168579
RC2,encryption,16,40mb_text_data_faker.txt,2.3310043811798096
RC2,decryption,16,40mb_text_data_faker.txt,1.896991491317749
RC4,encryption,5,40mb_text_data_faker.txt,0.7900097370147705
RC4,decryption,5,40mb_text_data_faker.txt,0.646996259689331
RC4,encryption,8,40mb_text_data_faker.txt,0.8070003986358643
RC4,decryption,8,40mb_text_data_faker.txt,0.6239993572235107
RC4,encryption,16,40mb_text_data_faker.txt,0.49399733543395996
RC4,decryption,16,40mb_text_data_faker.txt,0.5710017681121826
Blowfish,encryption,4,40mb_text_data_faker.txt,1.2169911861419678
Blowfish,decryption,4,40mb_text_data_faker.txt,0.8429977893829346
Blowfish,encryption,8,40mb_text_data_faker.txt,0.9799909591674805
Blowfish,decryption,8,40mb_text_data_faker.txt,0.9609978199005127
Blowfish,encryption,16,40mb_text_data_faker.txt,0.9660053253173828
Blowfish,decryption,16,40mb_text_data_faker.txt,0.8879940509796143
Blowfish,encryption,24,40mb_text_data_faker.txt,0.9200005531311035
Blowfish,decryption,24,40mb_text_data_faker.txt,0.8919966220855713
Blowfish,encryption,32,40mb_text_data_faker.txt,0.9909944534301758
Blowfish,decryption,32,40mb_text_data_faker.txt,0.9120008945465088
AES,encryption,16,50mb_text_data_faker.txt,0.6249904632568359
AES,decryption,16,50mb_text_data_faker.txt,0.5190019607543945
AES,encryption,24,50mb_text_data_faker.txt,0.4949970245361328
AES,decryption,24,50mb_text_data_faker.txt,0.5049998760223389
AES,encryption,32,50mb_text_data_faker.txt,0.47899770736694336
AES,decryption,32,50mb_text_data_faker.txt,0.5010113716125488
DES,encryption,8,50mb_text_data_faker.txt,1.5509953498840332
DES,decryption,8,50mb_text_data_faker.txt,1.5179898738861084
3DES,encryption,16,50mb_text_data_faker.txt,3.4859986305236816
3DES,decryption,16,50mb_text_data_faker.txt,3.3939971923828125
3DES,encryption,24,50mb_text_data_faker.txt,3.350008964538574
3DES,decryption,24,50mb_text_data_faker.txt,3.3959951400756836
RC2,encryption,5,50mb_text_data_faker.txt,2.174997091293335
RC2,decryption,5,50mb_text_data_faker.txt,1.9169960021972656
RC2,encryption,8,50mb_text_data_faker.txt,2.193995475769043
RC2,decryption,8,50mb_text_data_faker.txt,1.7469971179962158
RC2,encryption,16,50mb_text_data_faker.txt,2.130995750427246
RC2,decryption,16,50mb_text_data_faker.txt,1.7150044441223145
RC4,encryption,5,50mb_text_data_faker.txt,0.5819909572601318
RC4,decryption,5,50mb_text_data_faker.txt,0.5849978923797607
RC4,encryption,8,50mb_text_data_faker.txt,0.5719974040985107
RC4,decryption,8,50mb_text_data_faker.txt,0.621997594833374
RC4,encryption,16,50mb_text_data_faker.txt,0.5669944286346436
RC4,decryption,16,50mb_text_data_faker.txt,0.5779976844787598
Blowfish,encryption,4,50mb_text_data_faker.txt,1.1090006828308105
Blowfish,decryption,4,50mb_text_data_faker.txt,1.0469932556152344
Blowfish,encryption,8,50mb_text_data_faker.txt,1.101001501083374
Blowfish,decryption,8,50mb_text_data_faker.txt,1.0339891910552979
Blowfish,encryption,16,50mb_text_data_faker.txt,1.0999951362609863
Blowfish,decryption,16,50mb_text_data_faker.txt,1.0650014877319336
Blowfish,encryption,24,50mb_text_data_faker.txt,1.1280021667480469
Blowfish,decryption,24,50mb_text_data_faker.txt,1.2139968872070312
Blowfish,encryption,32,50mb_text_data_faker.txt,1.2449979782104492
Blowfish,decryption,32,50mb_text_data_faker.txt,1.1989960670471191
