algorithm,file_name,time_taken,rate
SHA-1,40mb_text_data_faker.txt,0.18613457679748535,214.89827783862023
SHA-224,40mb_text_data_faker.txt,0.2910490036010742,137.4339011818983
SHA-256,40mb_text_data_faker.txt,0.276472806930542,144.67968999949122
SHA-384,40mb_text_data_faker.txt,0.20476078987121582,195.34990085337128
SHA-512,40mb_text_data_faker.txt,0.20371603965759277,196.35174563197015
MD5,40mb_text_data_faker.txt,0.11742854118347168,340.6326911402531
HMAC,40mb_text_data_faker.txt,0.27460241317749023,145.66514378788747
SHA3-224,40mb_text_data_faker.txt,0.19432711601257324,205.83848935118218
SHA3-256,40mb_text_data_faker.txt,0.1998767852783203,200.12329067781246
SHA3-384,40mb_text_data_faker.txt,0.25324416160583496,157.9503343585804
SHA3-512,40mb_text_data_faker.txt,0.356076717376709,112.33534249216937
SHAKE128,40mb_text_data_faker.txt,0.16829657554626465,237.6756619685587
SHAKE256,40mb_text_data_faker.txt,0.199570894241333,200.43002839697465
SHA-1,5mb_text_data_faker.txt,0.01799321174621582,277.8825743020313
SHA-224,5mb_text_data_faker.txt,0.030881643295288086,161.90848240135261
SHA-256,5mb_text_data_faker.txt,0.03141427040100098,159.16333361161497
SHA-384,5mb_text_data_faker.txt,0.021967649459838867,227.6074192253009
SHA-512,5mb_text_data_faker.txt,0.022358417510986328,223.62942267909318
MD5,5mb_text_data_faker.txt,0.011605262756347656,430.8390171747884
HMAC,5mb_text_data_faker.txt,0.0309450626373291,161.57666438097587
SHA3-224,5mb_text_data_faker.txt,0.021136760711669922,236.5546957836082
SHA3-256,5mb_text_data_faker.txt,0.021666288375854492,230.77325997248968
SHA3-384,5mb_text_data_faker.txt,0.02852463722229004,175.28706714253474
SHA3-512,5mb_text_data_faker.txt,0.04118061065673828,121.4163636784697
SHAKE128,5mb_text_data_faker.txt,0.018245458602905273,274.0407960589073
SHAKE256,5mb_text_data_faker.txt,0.022046804428100586,226.79023693914849
SHA-1,50mb_text_data_faker.txt,0.18920254707336426,264.2670554567759
SHA-224,50mb_text_data_faker.txt,0.3410522937774658,146.60508347914717
SHA-256,50mb_text_data_faker.txt,0.342134952545166,146.14116338610387
SHA-384,50mb_text_data_faker.txt,0.25486063957214355,196.18564908233495
SHA-512,50mb_text_data_faker.txt,0.2538125514984131,196.99577386862452
MD5,50mb_text_data_faker.txt,0.14913320541381836,335.27073907691323
HMAC,50mb_text_data_faker.txt,0.3469069004058838,144.13088912760054
SHA3-224,50mb_text_data_faker.txt,0.23897767066955566,209.22456838713217
SHA3-256,50mb_text_data_faker.txt,0.25453901290893555,196.43354246010261
SHA3-384,50mb_text_data_faker.txt,0.3191344738006592,156.67376640491517
SHA3-512,50mb_text_data_faker.txt,0.43594956398010254,114.692166551363
SHAKE128,50mb_text_data_faker.txt,0.21048784255981445,237.54341054539276
SHAKE256,50mb_text_data_faker.txt,0.25252199172973633,198.0025567575631
SHA-1,10mb_text_data_faker.txt,0.0335993766784668,297.624568922697
SHA-224,10mb_text_data_faker.txt,0.06175875663757324,161.92035825274576
SHA-256,10mb_text_data_faker.txt,0.062108755111694336,161.00789626223116
SHA-384,10mb_text_data_faker.txt,0.04430389404296875,225.71379369726193
SHA-512,10mb_text_data_faker.txt,0.0444035530090332,225.20720353088993
MD5,10mb_text_data_faker.txt,0.03955864906311035,252.78921896565234
HMAC,10mb_text_data_faker.txt,0.08574891090393066,116.61955696677668
SHA3-224,10mb_text_data_faker.txt,0.04261207580566406,234.67526073139072
SHA3-256,10mb_text_data_faker.txt,0.04468965530395508,223.76543144012547
SHA3-384,10mb_text_data_faker.txt,0.056809186935424805,176.02786696044487
SHA3-512,10mb_text_data_faker.txt,0.08176350593566895,122.3039531581234
SHAKE128,10mb_text_data_faker.txt,0.03692936897277832,270.7871885753391
SHAKE256,10mb_text_data_faker.txt,0.04468035697937012,223.81199874068184
SHA-1,2mb_text_data_faker.txt,0.006052970886230469,330.4162596502285
SHA-224,2mb_text_data_faker.txt,0.012488126754760742,160.15212203363944
SHA-256,2mb_text_data_faker.txt,0.01232004165649414,162.33711344196308
SHA-384,2mb_text_data_faker.txt,0.008631467819213867,231.7103002513604
SHA-512,2mb_text_data_faker.txt,0.008607864379882812,232.34566807001994
MD5,2mb_text_data_faker.txt,0.004628181457519531,432.1351741191016
HMAC,2mb_text_data_faker.txt,0.012499094009399414,160.01159752026706
SHA3-224,2mb_text_data_faker.txt,0.008046627044677734,248.55134814814815
SHA3-256,2mb_text_data_faker.txt,0.00878143310546875,227.75325803649
SHA3-384,2mb_text_data_faker.txt,0.011223793029785156,178.19287959894638
SHA3-512,2mb_text_data_faker.txt,0.01581406593322754,126.46968897465663
SHAKE128,2mb_text_data_faker.txt,0.006983280181884766,286.39836121543186
SHAKE256,2mb_text_data_faker.txt,0.008809089660644531,227.03821587095376
SHA-1,1mb_text_data_faker.txt,0.002974271774291992,336.216753507014
SHA-224,1mb_text_data_faker.txt,0.006120443344116211,163.38685676444237
SHA-256,1mb_text_data_faker.txt,0.006134748458862305,163.0058684077572
SHA-384,1mb_text_data_faker.txt,0.004509449005126953,221.7565824257164
SHA-512,1mb_text_data_faker.txt,0.004433393478393555,225.5608496907771
MD5,1mb_text_data_faker.txt,0.0022830963134765625,438.0016708437761
HMAC,1mb_text_data_faker.txt,0.00621342658996582,160.94179041479606
SHA3-224,1mb_text_data_faker.txt,0.004072666168212891,245.53939819693244
SHA3-256,1mb_text_data_faker.txt,0.004258871078491211,234.80400828528244
